Money Line,,Run Line,,Total,,1st Half (5 Inn.),,2nd Half,,,,
5-Apr,2:40pm,CHW-115,OAK+105,OAK-155,CHW+135,7.5 -110,7.5 -110,CHW-120,OAK+100,CHW-125,OAK+105,0024.csv
5-Apr,4:15pm,CHW-115,OAK+105,OAK-160,CHW+140,7.5 -110,7.5 -110,CHW-120,OAK+100,CHW-125,OAK+105,0024.csv
5-Apr,6:55pm,CHW-115,OAK+105,OAK-160,CHW+140,7.5 -110,7.5 -110,CHW-120,OAK+100,CHW-125,OAK+105,0024.csv
5-Apr,7:30pm,CHW-115,OAK+105,OAK-160,CHW+140,7.5 -110,7.5 -110,CHW-120,OAK+100,CHW-125,OAK+105,0024.csv
5-Apr,9:30pm,CHW-115,OAK+105,OAK-165,CHW+145,7.5 -110,7.5 -110,CHW-120,OAK+100,CHW-125,OAK+105,0024.csv
5-Apr,9:35pm,CHW-115,OAK+105,OAK-160,CHW+140,7.5 -110,7.5 -110,CHW-120,OAK+100,CHW-125,OAK+105,0024.csv
4-Apr,1:55pm,LAD-120,SDG+110,,,6.5 -105,6.5 -115,,,,,0025.csv
4-Apr,2:25pm,LAD-140,SDG+130,,,6.5 -115,6.5 -105,,,,,0025.csv
4-Apr,2:35pm,LAD-135,SDG+125,,,6.5 -115,6.5 -105,,,,,0025.csv
4-Apr,2:40pm,LAD-130,SDG+120,,,6.5 -115,6.5 -105,,,,,0025.csv
4-Apr,3:15pm,LAD-132,SDG+122,,,6.5 -115,6.5 -105,,,,,0025.csv
4-Apr,3:20pm,LAD-135,SDG+125,SDG-150,LAD+130,6.5 -115,6.5 -105,,,,,0025.csv
4-Apr,3:55pm,LAD-135,SDG+125,SDG-150,LAD+130,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,4:20pm,LAD-132,SDG+122,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,6:00pm,LAD-130,SDG+120,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,6:45pm,LAD-132,SDG+122,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,7:15pm,LAD-135,SDG+125,SDG-145,LAD+125,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,7:40pm,LAD-130,SDG+120,SDG-145,LAD+125,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,8:00pm,LAD-135,SDG+125,SDG-145,LAD+125,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,9:05pm,LAD-130,SDG+120,SDG-145,LAD+125,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,10:25pm,LAD-130,SDG+120,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,10:30pm,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
4-Apr,10:50pm,LAD-124,SDG+114,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
5-Apr,2:05am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
5-Apr,7:10am,LAD-125,SDG+115,SDG-160,LAD+140,6.5 -120,6.5 +100,,,,,0025.csv
5-Apr,7:35am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
5-Apr,8:05am,LAD-125,SDG+115,SDG-160,LAD+140,6.5 -120,6.5 +100,,,,,0025.csv
5-Apr,8:25am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,,,,,0025.csv
5-Apr,8:40am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,LAD-125,SDG+105,,,0025.csv
5-Apr,8:50am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,LAD-125,SDG+105,,,0025.csv
5-Apr,8:55am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,LAD-125,SDG+105,,,0025.csv
5-Apr,9:05am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,LAD-125,SDG+105,LAD-130,SDG+110,0025.csv
5-Apr,9:10am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,LAD-125,SDG+105,LAD-130,SDG+110,0025.csv
5-Apr,9:15am,LAD-125,SDG+115,SDG-155,LAD+135,6.5 -120,6.5 +100,LAD-125,SDG+105,LAD-130,SDG+110,0025.csv
5-Apr,9:25am,LAD-125,SDG+115,SDG-155,LAD+135,7 -110,7 -110,LAD-125,SDG+105,LAD-130,SDG+110,0025.csv
5-Apr,9:45am,LAD-120,SDG+110,SDG-165,LAD+145,7 -110,7 -110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,9:45am,LAD-120,SDG+110,SDG-165,LAD+145,7 -110,7 -110,LAD-125,SDG+105,LAD-130,SDG+110,0025.csv
5-Apr,9:50am,LAD-120,SDG+110,SDG-155,LAD+135,7 -110,7 -110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,9:55am,LAD-120,SDG+110,SDG-165,LAD+145,7 -110,7 -110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,10:00am,LAD-125,SDG+105,SDG-165,LAD+145,7 -110,7 -110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:00am,LAD-125,SDG+105,SDG-165,LAD+145,7 -110,7 -110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,10:10am,LAD-117,SDG+107,SDG-165,LAD+145,6.5 -120,6.5 +100,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:15am,LAD-120,SDG+110,SDG-160,LAD+140,7 -110,7 -110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:20am,LAD-120,SDG+110,SDG-160,LAD+140,7 -115,7 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:25am,LAD-125,SDG+115,SDG-160,LAD+140,7 -115,7 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:35am,LAD-125,SDG+115,SDG-155,LAD+135,7 -115,7 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:35am,LAD-125,SDG+115,SDG-155,LAD+135,7 -115,7 -105,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,10:40am,LAD-125,SDG+115,SDG-160,LAD+140,7 -115,7 -105,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,10:50am,LAD-125,SDG+115,SDG-160,LAD+140,7 -115,7 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,10:55am,LAD-122,SDG+112,SDG-160,LAD+140,7 -115,7 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,11:15am,LAD-122,SDG+112,SDG-160,LAD+140,7 -120,7 +100,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,11:20am,LAD-122,SDG+112,SDG-160,LAD+140,7 -120,7 +100,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,11:40am,LAD-120,SDG+110,SDG-160,LAD+140,7 -120,7 +100,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,11:55am,LAD-120,SDG+110,SDG-160,LAD+140,7 -125,7 +105,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,12:00pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -125,7 +105,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,1:15pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -130,7 +110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,3:00pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -130,7 +110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,3:10pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -130,7 +110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,3:15pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -130,7 +110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,3:50pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -130,7 +110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,4:05pm,LAD-120,SDG+110,SDG-160,LAD+140,7 -130,7 +110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,4:15pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -110,7.5 -110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,4:45pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -110,7.5 -110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,5:20pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -110,7.5 -110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,6:30pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -110,7.5 -110,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,7:00pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -115,7.5 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,7:00pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -115,7.5 -105,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,7:05pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -115,7.5 -105,LAD-125,SDG+105,LAD-125,SDG+105,0025.csv
5-Apr,7:25pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -115,7.5 -105,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,7:30pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -110,7.5 -110,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,7:35pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 +100,7.5 -120,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,7:40pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 -105,7.5 -115,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,7:50pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 +105,7.5 -125,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,7:55pm,LAD-120,SDG+110,SDG-160,LAD+140,7.5 +105,7.5 -125,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,8:00pm,LAD-115,SDG+105,SDG-160,LAD+140,7.5 +110,7.5 -130,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,8:00pm,LAD-115,SDG+105,SDG-160,LAD+140,7.5 +110,7.5 -130,LAD-115,SDG-105,LAD-125,SDG+105,0025.csv
5-Apr,8:10pm,LAD-115,SDG+105,SDG-160,LAD+140,7.5 +105,7.5 -125,LAD-115,SDG-105,LAD-125,SDG+105,0025.csv
5-Apr,8:25pm,LAD-115,SDG+105,SDG-160,LAD+140,7.5 +105,7.5 -125,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,9:45pm,LAD-115,SDG+105,SDG-160,LAD+140,7.5 +105,7.5 -125,LAD-120,SDG+100,LAD-125,SDG+105,0025.csv
5-Apr,12:25pm,TAM-120,TOR+110,,,8 -120,8 +100,,,,,0026.csv
5-Apr,12:30pm,TAM-113,TOR+103,,,8 -120,8 +100,,,,,0026.csv
5-Apr,12:35pm,TAM-108,TOR-102,,,8 -120,8 +100,,,,,0026.csv
5-Apr,12:40pm,TAM-108,TOR-102,TOR-205,TAM+175,9 +100,9 -120,,,,,0026.csv
5-Apr,2:45pm,TAM-108,TOR-102,TOR-205,TAM+175,9 +105,9 -125,,,,,0026.csv
5-Apr,3:30pm,TAM-110,TOR+100,TOR-205,TAM+175,8 -120,8 +100,,,,,0026.csv
5-Apr,3:50pm,TAM-108,TOR-102,TOR-205,TAM+175,8 -120,8 +100,,,,,0026.csv
5-Apr,4:15pm,TAM-113,TOR+103,TOR-205,TAM+175,8 -120,8 +100,,,,,0026.csv
5-Apr,7:40pm,TAM-110,TOR+100,TOR-195,TAM+170,8 -120,8 +100,,,,,0026.csv
5-Apr,7:50pm,TAM-115,TOR+105,TOR-200,TAM+170,8 -120,8 +100,,,,,0026.csv
5-Apr,9:05pm,TAM-110,TOR+100,TOR-200,TAM+170,8 -120,8 +100,,,,,0026.csv
5-Apr,9:10pm,TOR-110,TAM+100,TOR-200,TAM+170,8 -120,8 +100,,,,,0026.csv
5-Apr,10:25pm,TOR-108,TAM-102,TOR-200,TAM+170,8 -120,8 +100,,,,,0026.csv
5-Apr,11:05pm,TOR-108,TAM-102,TOR-220,TAM+180,8 -120,8 +100,,,,,0026.csv
6-Apr,12:25am,TOR-108,TAM-102,TOR-220,TAM+180,8 -120,8 +100,TOR-115,TAM-105,,,0026.csv
6-Apr,12:25am,TOR-108,TAM-102,TOR-220,TAM+180,8 -120,8 +100,TOR-115,TAM-105,TOR-130,TAM+100,0026.csv
6-Apr,1:45am,TOR-115,TAM-105,TOR-220,TAM+180,8 -120,8 +100,TOR-115,TAM-105,TOR-130,TAM+100,0026.csv
6-Apr,2:05am,TOR-108,TAM-102,TOR-220,TAM+180,8 -120,8 +100,TOR-115,TAM-105,TOR-130,TAM+100,0026.csv
6-Apr,2:20am,TOR-108,TAM-102,TOR-220,TAM+180,8 -120,8 +100,TOR-120,TAM+100,TOR-130,TAM+100,0026.csv
6-Apr,2:50am,TOR-120,TAM+100,TOR-220,TAM+180,8 -120,8 +100,TOR-120,TAM+100,TOR-130,TAM+100,0026.csv
6-Apr,3:30am,TOR-117,TAM+107,TOR-220,TAM+180,8 -120,8 +100,TOR-120,TAM+100,TOR-130,TAM+100,0026.csv
6-Apr,3:50am,TOR-120,TAM+110,TOR-220,TAM+180,8 -120,8 +100,TOR-120,TAM+100,TOR-130,TAM+100,0026.csv
6-Apr,4:40am,TOR-117,TAM+107,TOR-220,TAM+180,8 -120,8 +100,TOR-120,TAM+100,TOR-130,TAM+100,0026.csv
6-Apr,4:50am,TOR-120,TAM+110,TOR-220,TAM+180,8 -120,8 +100,TOR-120,TAM+100,TOR-130,TAM+100,0026.csv
6-Apr,4:50am,TOR-120,TAM+110,TOR-220,TAM+180,8 -120,8 +100,TOR-125,TAM+105,TOR-130,TAM+100,0026.csv
6-Apr,4:50am,TOR-120,TAM+110,TOR-220,TAM+180,8 -120,8 +100,TOR-125,TAM+105,TOR-135,TAM+105,0026.csv
6-Apr,6:30am,TOR-125,TAM+105,TOR-220,TAM+180,8 -120,8 +100,TOR-125,TAM+105,TOR-135,TAM+105,0026.csv
6-Apr,7:05am,TOR-125,TAM+105,TOR-220,TAM+180,8 -120,8 +100,TOR-125,TAM+105,TOR-135,TAM+105,0026.csv
6-Apr,7:25am,TOR-128,TAM+118,TOR-220,TAM+180,8 -120,8 +100,TOR-125,TAM+105,TOR-135,TAM+105,0026.csv
6-Apr,7:25am,TOR-128,TAM+118,TOR-220,TAM+180,8 -120,8 +100,TOR-130,TAM+110,TOR-135,TAM+105,0026.csv
6-Apr,8:00am,TOR-125,TAM+115,TOR-220,TAM+180,8 -120,8 +100,TOR-130,TAM+110,TOR-135,TAM+105,0026.csv
6-Apr,8:10am,TOR-125,TAM+115,TOR-220,TAM+180,8 -120,8 +100,TOR-130,TAM+110,TOR-135,TAM+105,0026.csv
6-Apr,8:15am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-135,TAM+105,0026.csv
6-Apr,8:25am,TOR-130,TAM+110,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-135,TAM+105,0026.csv
6-Apr,8:25am,TOR-130,TAM+110,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-140,TAM+110,0026.csv
6-Apr,8:40am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-140,TAM+110,0026.csv
6-Apr,8:55am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-140,TAM+110,0026.csv
6-Apr,9:00am,TOR-130,TAM+120,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-140,TAM+110,0026.csv
6-Apr,9:00am,TOR-130,TAM+120,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-140,TAM+110,0026.csv
6-Apr,9:05am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,9:05am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-140,TAM+110,0026.csv
6-Apr,9:10am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,9:20am,TOR-126,TAM+116,TAM-150,TOR+130,8 -110,8 -110,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,9:25am,TOR-126,TAM+116,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,9:40am,TOR-126,TAM+116,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,9:45am,TOR-125,TAM+115,TAM-150,TOR+130,8 -110,8 -110,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,9:45am,TOR-125,TAM+115,TAM-150,TOR+130,8 -110,8 -110,TOR-130,TAM+110,TOR-125,TAM+105,0026.csv
6-Apr,9:50am,TOR-125,TAM+115,TAM-150,TOR+130,8 -115,8 -105,TOR-130,TAM+110,TOR-125,TAM+105,0026.csv
6-Apr,9:55am,TOR-132,TAM+122,TAM-150,TOR+130,8 -120,8 +100,TOR-130,TAM+110,TOR-125,TAM+105,0026.csv
6-Apr,10:00am,TOR-133,TAM+123,TAM-140,TOR+120,8 -120,8 +100,TOR-130,TAM+110,TOR-125,TAM+105,0026.csv
6-Apr,10:00am,TOR-133,TAM+123,TAM-140,TOR+120,8 -120,8 +100,TOR-140,TAM+120,TOR-125,TAM+105,0026.csv
6-Apr,10:05am,TOR-136,TAM+126,TAM-140,TOR+120,8 -120,8 +100,TOR-140,TAM+120,TOR-125,TAM+105,0026.csv
6-Apr,10:15am,TOR-136,TAM+126,TAM-140,TOR+120,8 -120,8 +100,TOR-135,TAM+115,TOR-125,TAM+105,0026.csv
6-Apr,10:30am,TOR-136,TAM+126,TAM-140,TOR+120,8 -120,8 +100,TOR-140,TAM+120,TOR-125,TAM+105,0026.csv
6-Apr,10:40am,TOR-136,TAM+126,TAM-140,TOR+120,8 -120,8 +100,TOR-135,TAM+115,TOR-125,TAM+105,0026.csv
6-Apr,10:45am,TOR-135,TAM+125,TAM-145,TOR+125,8 -120,8 +100,TOR-135,TAM+115,TOR-125,TAM+105,0026.csv
6-Apr,10:50am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,10:50am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-135,TAM+115,TOR-125,TAM+105,0026.csv
6-Apr,10:55am,TOR-125,TAM+115,TAM-150,TOR+130,8 -120,8 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,11:00am,TOR-125,TAM+115,TAM-150,TOR+130,8.5 -110,8.5 -110,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,11:25am,TOR-125,TAM+115,TAM-150,TOR+130,8.5 -115,8.5 -105,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,11:45am,TOR-125,TAM+115,TAM-150,TOR+130,8.5 -115,8.5 -105,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,12:40pm,TOR-125,TAM+115,TAM-150,TOR+130,8.5 -120,8.5 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,12:45pm,TOR-135,TAM+125,TAM-140,TOR+120,8.5 -120,8.5 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,12:45pm,TOR-135,TAM+125,TAM-140,TOR+120,8.5 -120,8.5 +100,TOR-135,TAM+115,TOR-125,TAM+105,0026.csv
6-Apr,12:50pm,TOR-125,TAM+115,TAM-145,TOR+125,8.5 -120,8.5 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,12:50pm,TOR-125,TAM+115,TAM-145,TOR+125,8.5 -120,8.5 +100,TOR-135,TAM+115,TOR-125,TAM+105,0026.csv
6-Apr,1:05pm,TOR-128,TAM+118,TAM-145,TOR+125,8.5 -120,8.5 +100,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
6-Apr,1:10pm,TOR-128,TAM+118,TAM-145,TOR+125,8.5 -125,8.5 +105,TOR-125,TAM+105,TOR-125,TAM+105,0026.csv
5-Apr,12:20pm,SFO-130,MIL+120,,,8.5 -110,8.5 -110,,,,,0027.csv
5-Apr,12:40pm,SFO-135,MIL+125,MIL-135,SFO+115,8.5 -110,8.5 -110,,,,,0027.csv
5-Apr,2:45pm,SFO-134,MIL+124,MIL-135,SFO+115,8.5 -105,8.5 -115,,,,,0027.csv
5-Apr,3:30pm,SFO-130,MIL+120,MIL-135,SFO+115,8.5 -105,8.5 -115,,,,,0027.csv
5-Apr,3:35pm,SFO-130,MIL+120,MIL-135,SFO+115,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,7:40pm,SFO-130,MIL+120,MIL-140,SFO+120,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,7:45pm,SFO-132,MIL+122,MIL-140,SFO+120,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,8:20pm,SFO-135,MIL+125,MIL-140,SFO+120,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,8:25pm,SFO-125,MIL+115,MIL-140,SFO+120,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,8:35pm,SFO-125,MIL+115,MIL-150,SFO+130,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,9:05pm,SFO-123,MIL+113,MIL-155,SFO+135,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,9:40pm,SFO-123,MIL+113,MIL-140,SFO+120,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,10:25pm,SFO-123,MIL+113,MIL-155,SFO+135,8.5 +100,8.5 -120,,,,,0027.csv
5-Apr,11:35pm,SFO-123,MIL+113,MIL-140,SFO+120,8.5 +100,8.5 -120,,,,,0027.csv
6-Apr,12:20am,SFO-123,MIL+113,MIL-150,SFO+130,8.5 +100,8.5 -120,,,,,0027.csv
6-Apr,12:20am,SFO-123,MIL+113,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,,,0027.csv
6-Apr,12:20am,SFO-123,MIL+113,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,12:50am,SFO-123,MIL+113,MIL-150,SFO+130,8 -115,8 -105,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,12:55am,SFO-123,MIL+113,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,1:40am,SFO-125,MIL+115,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,1:45am,SFO-126,MIL+116,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,2:00am,SFO-127,MIL+117,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,3:40am,SFO-125,MIL+115,MIL-150,SFO+130,8.5 +100,8.5 -120,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,8:35am,SFO-130,MIL+120,MIL-150,SFO+130,8 -115,8 -105,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,8:55am,SFO-130,MIL+120,MIL-150,SFO+130,8 -115,8 -105,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,9:00am,SFO-125,MIL+115,MIL-150,SFO+130,8 -115,8 -105,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,9:10am,SFO-125,MIL+115,MIL-150,SFO+130,8 -115,8 -105,SFO-130,MIL+110,SFO-125,MIL+105,0027.csv
6-Apr,9:10am,SFO-125,MIL+115,MIL-150,SFO+130,8 -115,8 -105,SFO-130,MIL+110,SFO-135,MIL+105,0027.csv
6-Apr,9:20am,SFO-133,MIL+123,MIL-145,SFO+125,8 -115,8 -105,SFO-130,MIL+110,SFO-125,MIL+105,0027.csv
6-Apr,9:30am,SFO-133,MIL+123,MIL-145,SFO+125,8 -115,8 -105,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,9:45am,SFO-135,MIL+125,MIL-140,SFO+120,8 -115,8 -105,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,9:50am,SFO-145,MIL+125,MIL-140,SFO+120,8 -115,8 -105,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,9:55am,SFO-138,MIL+128,MIL-140,SFO+120,8 -115,8 -105,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,10:50am,SFO-138,MIL+128,MIL-140,SFO+120,8 -120,8 +100,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,10:55am,SFO-138,MIL+128,MIL-140,SFO+120,8 -115,8 -105,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,11:00am,SFO-140,MIL+130,MIL-140,SFO+120,8 -115,8 -105,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,11:00am,SFO-140,MIL+130,MIL-140,SFO+120,8 -115,8 -105,SFO-145,MIL+125,SFO-125,MIL+105,0027.csv
6-Apr,11:05am,SFO-140,MIL+130,MIL-140,SFO+120,8 -120,8 +100,SFO-145,MIL+125,SFO-125,MIL+105,0027.csv
6-Apr,11:10am,SFO-140,MIL+130,MIL-140,SFO+120,8.5 -110,8.5 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,11:10am,SFO-140,MIL+130,MIL-140,SFO+120,8.5 -110,8.5 -110,SFO-145,MIL+125,SFO-125,MIL+105,0027.csv
6-Apr,11:35am,SFO-138,MIL+128,MIL-140,SFO+120,9 -110,9 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,11:40am,SFO-138,MIL+128,MIL-140,SFO+120,9 -110,9 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,11:45am,SFO-136,MIL+126,MIL-140,SFO+120,9 -110,9 -110,SFO-135,MIL+115,SFO-125,MIL+105,0027.csv
6-Apr,11:45am,SFO-136,MIL+126,MIL-140,SFO+120,9 -110,9 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,12:00pm,SFO-136,MIL+126,MIL-140,SFO+120,9 -110,9 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,12:15pm,SFO-137,MIL+127,MIL-140,SFO+120,9 -110,9 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
6-Apr,12:20pm,SFO-145,MIL+130,MIL-140,SFO+120,9 -110,9 -110,SFO-140,MIL+120,SFO-125,MIL+105,0027.csv
